Date,Open,High,Low,Close,Volume,twitter_sentiment,news_sentiment
2014-10-13,47.714001,47.792,43.464001,45.495998,217350000,0.0,0.18006111111111112
2014-10-20,45.344002,47.560001,45.102001,47.048,93485000,0.1401,0.0062666666666666565
2014-10-27,46.849998,48.919998,44.062,48.34,160179000,0.1401,0.08788333333333334
2014-11-03,48.599998,49.512001,45.700001,48.040001,187240000,0.17,0.05410000000000001
2014-11-10,47.821999,51.77,47.360001,51.736,153669500,0.1259,0.0
2014-11-17,51.498001,51.998001,48.433998,48.556,137447500,0.0310666666666667,0.462325
2014-11-24,49.040001,49.944,48.127998,48.903999,60252000,0.5093,0.2553
2014-12-01,48.231998,48.493999,44.452,44.742001,148666500,0.6851999999999999,0.0
2014-12-08,44.307999,44.972,40.854,41.400002,199197000,0.6851999999999999,0.4588
2014-12-15,41.858002,44.080002,38.529999,43.858002,177030000,-0.130575,0.0
2014-12-22,44.0,45.700001,43.652,45.563999,69821500,0.3423,0.0683
2014-12-29,45.380001,45.582001,42.652,43.862,63838000,0.23835,0.0683
2015-01-05,42.91,43.299999,40.841999,41.332001,113548000,-0.0493333333333333,0.0683
2015-01-12,40.610001,41.521999,37.0,38.613998,153996000,0.11056944444444443,0.0683
2015-01-19,38.773998,40.700001,37.408001,40.257999,81058500,0.20116,0.0683
2015-01-26,40.366001,41.723999,39.299999,40.720001,78601000,0.18438,-0.3454
2015-02-02,40.793999,45.096001,40.66,43.472,95238000,0.1525680555555555,0.0
2015-02-09,43.076,44.099998,38.655998,40.754002,202363000,0.1525680555555555,-0.146175
2015-02-16,41.139999,43.52,40.299999,43.422001,89147000,0.7510999999999999,0.010575000000000001
2015-02-23,43.132,43.639999,40.34,40.667999,146839500,0.7510999999999999,0.23762499999999998
2015-03-02,40.540001,41.237999,38.43,38.776001,140829000,-0.0306333333333333,0.23762499999999998
2015-03-09,38.877998,39.236,37.464001,37.736,134374500,0.033388888888888864,-0.3182
2015-03-16,38.400002,40.917999,37.959999,39.616001,140442500,0.49628333333333335,0.3798125
2015-03-23,39.700001,40.757999,36.279999,37.0,123724000,-0.1636,0.2617
2015-03-30,37.169998,38.751999,36.360001,38.200001,119605500,0.3188333333333333,0.0796125
2015-04-06,39.599998,42.330002,39.5,42.18,154873500,0.16775000000000004,0.1909
2015-04-13,42.088001,42.599998,40.700001,41.358002,64328000,0.0021833333333333336,-0.212
2015-04-20,41.355999,44.375999,40.77,43.686001,103469000,0.4215,0.07493999999999998
2015-04-27,44.512001,47.75,44.082001,45.206001,154438500,0.5130875,0.14857678571428573
2015-05-04,45.636002,47.900002,44.049999,47.321999,148132500,0.07337777777777776,0.32985
2015-05-11,47.257999,49.880001,47.062,49.768002,124497000,0.1853833333333333,0.299
2015-05-18,49.400002,50.200001,48.273998,49.546001,74883500,0.17955,0.2664666666666667
